university,athlete_name,sex,event,pb_raw,pb_value,pb_unit,better_is,pb_date,pb_date_raw,pb_season,pb_meet,pb_meet_url,athlete_url
Brock University,Adam Dampier - Brock University,M,300 Meter,36.31*,36.31,s,lower,2026-01-03,Jan 3rd,2025/26,2026 Sharon Anderson Memorial,https://www.trackie.com/results/2026-sharon-anderson-memorial/10178/,https://www.trackie.com/usports/tnf/athletes/adam-dampier/14292/
Brock University,Adam Dampier - Brock University,M,400 Meter,51.13,51.13,s,lower,2025-01-25,Jan 25th,2024/25,SPIRE Midwest Collegiate Open,https://www.trackie.com/results/spire-midwest-collegiate-open/9886/,https://www.trackie.com/usports/tnf/athletes/adam-dampier/14292/
Brock University,Ahmed Hamour - Brock University,M,300 Meter,39.66,39.66,s,lower,2025-11-29,Nov 29th,2025/26,York Holiday Open,https://www.trackie.com/results/york-holiday-open/10130/,https://www.trackie.com/usports/tnf/athletes/ahmed-hamour/15326/
Brock University,Ahmed Hamour - Brock University,M,60 Meter,7.63,7.63,s,lower,2025-11-29,Nov 29th,2025/26,York Holiday Open,https://www.trackie.com/results/york-holiday-open/10130/,https://www.trackie.com/usports/tnf/athletes/ahmed-hamour/15326/
Brock University,Aidan Barbour,M,Shot Put,11.27m,11.27,s,lower,,,,,,https://www.trackie.com/usports/tnf/athletes/aidan-barbour/13432/
Brock University,Alice Abumere,F,60 Meter,8.69,8.69,s,lower,,,,,,https://www.trackie.com/usports/tnf/athletes/alice-abumere/14312/
Brock University,Alice Abumere,F,Long Jump,4.19m,4.19,s,lower,,,,,,https://www.trackie.com/usports/tnf/athletes/alice-abumere/14312/
Brock University,Andrew Armstrong,M,Shot Put,12.11m,12.11,s,lower,,,,,,https://www.trackie.com/usports/tnf/athletes/andrew-armstrong/12748/
Brock University,Anthony Papalambropoulos,M,300 Meter,40.96,40.96,s,lower,,,,,,https://www.trackie.com/usports/tnf/athletes/anthony-papalambropoulos/14302/
Brock University,Anthony Papalambropoulos,M,60 Meter,7.80,7.8,s,lower,,,,,,https://www.trackie.com/usports/tnf/athletes/anthony-papalambropoulos/14302/
Brock University,Ashlee Mctague,F,60 Meter Hurdles,12.52,12.52,s,lower,,,,,,https://www.trackie.com/usports/tnf/athletes/ashlee-mctague/13452/
Brock University,Augustine Uche - Brock University,M,60 Meter,7.69,7.69,s,lower,2025-11-29,Nov 29th,2025/26,York Holiday Open,https://www.trackie.com/results/york-holiday-open/10130/,https://www.trackie.com/usports/tnf/athletes/augustine-uche/15335/
Brock University,Augustine Uche - Brock University,M,60 Meter Hurdles,9.71,9.71,s,lower,2025-11-29,Nov 29th,2025/26,York Holiday Open,https://www.trackie.com/results/york-holiday-open/10130/,https://www.trackie.com/usports/tnf/athletes/augustine-uche/15335/
Brock University,Ava Costa - Brock University,F,300 Meter,42.69,42.69,s,lower,2025-11-29,Nov 29th,2025/26,York Holiday Open,https://www.trackie.com/results/york-holiday-open/10130/,https://www.trackie.com/usports/tnf/athletes/ava-costa/15322/
Brock University,Ava Costa - Brock University,F,60 Meter,8.07,8.07,s,lower,2025-11-29,Nov 29th,2025/26,York Holiday Open,https://www.trackie.com/results/york-holiday-open/10130/,https://www.trackie.com/usports/tnf/athletes/ava-costa/15322/
Brock University,Ayden Tessier - Brock University,M,200 Meter,23.24,23.24,s,lower,2025-01-25,Jan 25th,2024/25,SPIRE Midwest Collegiate Open,https://www.trackie.com/results/spire-midwest-collegiate-open/9886/,https://www.trackie.com/usports/tnf/athletes/ayden-tessier/13444/
Brock University,Ayden Tessier - Brock University,M,300 Meter,35.74*,35.74,s,lower,2025-02-21,Feb 21st,2024/25,OUA Track and Field Championships,https://www.trackie.com/results/oua-track-and-field-championships/9958/,https://www.trackie.com/usports/tnf/athletes/ayden-tessier/13444/
Brock University,Ayden Tessier - Brock University,M,60 Meter,7.16,7.16,s,lower,2025-01-31,Jan 31st,2024/25,York Open,https://www.trackie.com/results/york-open/9889/,https://www.trackie.com/usports/tnf/athletes/ayden-tessier/13444/
Brock University,Ayden Tessier - Brock University,M,Long Jump,5.33m,5.33,s,lower,2025-01-31,Jan 31st,2024/25,York Open,https://www.trackie.com/results/york-open/9889/,https://www.trackie.com/usports/tnf/athletes/ayden-tessier/13444/
Brock University,Ben Jonah,M,60 Meter,7.27,7.27,s,lower,,,,,,https://www.trackie.com/usports/tnf/athletes/ben-jonah/13039/
